label,name,mass(g),calories(kcal),carbohydrate(g),protein(g),fat(g),water(g),K(mg),P(mg),VitA(µg),VitD(µg),VitE(mg),VitK(µg),Na(mg),Ca(mg)
59,corn,150,123,27,5,2,79,248,92,0,0.2,0.5,0.3,10,5
60,hamburg,150,250,0,15,20,60,300,200,0,0.1,0.2,0.5,800,50
61,pizza,150,285,36,12,10,150,350,250,0,0.2,0.5,0.6,800,250
62,hanamakibaozi,100,220,35,7,7,50,250,180,0,0.1,0.2,0,300,30
63,wontondumplings,100,200,28,8,7,50,300,200,0,0.1,0.2,0,450,40
64,pasta,150,220,43,8,1.5,60,45,80,0,0.1,0.2,0,10,20
65,noodles,150,220,40,8,1.5,65,80,50,0,0.1,0.2,0,10,20
66,rice,100,130,30,3,0.3,45,77,45,0,0.1,0.2,0,3,6
67,pie,100,276,36,3.4,14,40,200,140,0,0.1,0.2,0.5,300,30
68,tofu,100,96,2.6,10,6,66,200,133,0,0.2,0.1,0.2,10,200
69,eggplant,100,24,5.7,0.6,0.13,94,125,16,0,0.13,0.1,2.3,2,9
70,potato,150,130,30,3,0.2,113,425,60,0,0.1,0.2,2.9,5,10
71,garlic,10,15,3.6,0.6,0.1,6,36,16,0,0,0.1,0,1,5
72,cauliflower,75,18,3.5,1.5,0.2,70,150,24,0,0.1,0.1,8,15,30
73,tomato,75,13.5,3,0.65,0.1,71,116.5,12,0,0.2,0.1,4,2,10
74,kelp,50,15,3.4,1.0,0.1,45,200,15,0,0.2,0.1,0,700,100
75,seaweed,10,5,1.2,0.5,0.1,8,34,2,0,0.1,0.1,0,150,50
76,springonion,30,10,2.4,0.3,0.1,24,53,4,0,0.1,0.1,0,5,20
77,rape,100,35,5,2.8,0.6,92,250,60,0,0.1,0.1,0.5,2,10
78,ginger,10,8,1.8,0.2,0.1,8,22,2,0,0.1,0.1,0,1,10
79,okra,75,16,3.25,1,0.1,74,150,30,0,0.1,0.1,0.3,7.5,30
80,lettuce,50,10,2,0.5,0.1,45,80,5,0,0.1,0.1,1.5,5,25
81,pumpkin,75,25,6,0.6,0.1,70,282,10,0,0.1,0.1,0.6,3,15
82,cucumber,75,12,1.8,0.5,0.1,72,120,42,0,0.1,0.1,0.8,2,10
83,whiteradish,75,9,2,0.3,0.1,72,68,13,0,0.1,0.1,0.8,5,15
84,carrot,100,41,9.6,0.9,0.2,88,320,828,0,0.1,0.2,13.2,40,30
85,asparagus,100,20,3.7,2.2,0.2,93,230,38,0,0.1,0.1,17.2,2,20
86,bambooshoots,100,27,6.4,2.2,0.2,89,490,25,0,0.1,0.1,0.1,2,30
87,broccoli,100,34,6.6,2.8,0.4,91,316,63,0,0.1,0.8,101.6,30,40
88,celerystick,50,8,1.5,0.4,0.2,46,104,24,0,0.1,0.1,0.2,25,20
89,cilantromint,10,3,0.6,0.3,0.1,9,36,10,0,0.1,0.1,0,1,6
90,snowpeas,50,21,3.5,1.4,0.1,45,60,20,0,0.1,0.1,0.1,5,20
91,cabbage,100,25,5.8,1.3,0.1,92,180,53,0,0.1,0.1,0.3,18,40
92,beansprouts,50,15,3,1.5,0.1,46,150,7,0,0.1,0.1,0.1,2.5,15
93,onion,50,20,4.6,0.6,0.1,45,73,1,0,0.1,0.1,0.2,1,10
94,pepper,50,10,2.4,0.5,0.1,46,120,13,0,0.1,0.1,0.2,2,10
95,greenbeans,50,15,3.5,1,0.1,45,100,18,0,0.1,0.1,0.1,1,20
96,Frenchbeans,50,16,3.5,1,0.1,45,100,18,0,0.1,0.1,0.1,1,20
97,kingoystermushroom,50,17,3,1.75,0.1,46,45,10,0,0.1,0.1,1.0,1,2
98,shiitake,50,17,3.4,1.1,0.25,46,100,6,0,0.1,0.1,0.5,2,4
99,enokimushroom,50,18,4.6,1.4,0.1,46,65,10,0,0.1,0.1,0.3,1,2
100,oystermushroom,50,17,3,1.6,0.1,46,30,9,0,0.1,0.1,0.5,1,2
101,whitebuttonmushroom,50,11,1.6,1.1,0.15,46,150,9,0,0.1,0.1,0.15,1,2
102,salad,100,17,3,0.7,0.16,94,24,200,0,0.1,0.1,0.3,20,30
103,otheringredients,0,0,0,0,0,0,0,0,0,0,0,0,0,0
